display_item,title,file,n_rows,note
Supplementary Table 6b,Supplementary Table 6b Regional comparisons of nine ping types,supplementary/tables/TableS6b.csv,27,"Note. The analysis included 126,000 players, 2,519,994 player–match records and 2,240,349 unique matches. Regressions included region, sampling tier, team position, patch and match duration. Adjusted means used equal weights across seven tiers and, separately, five positions, the pooled patch distribution and mean match duration. Each contrast includes 84,000 players; Δ and d are defined in Supplementary Table 4b. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Holm adjustment covers 27 two-sided Wald tests. Adjusted P = 0.278 for Need vision and P = 0.014 for Assist me in KR−EUW. The joint test of regional pattern differences across nine pings gives χ²(16) = 18,970.020, P < 0.001, using stratified player-cluster covariance."
Supplementary Table 7,Supplementary Table 7 Ping occurrence and conditional frequency,supplementary/tables/TableS7.csv,27,"Note. Occurrence proportions use all valid player–match records in each region: 839,998 in NA, 839,996 in EUW and 840,000 in KR, with 42,000 players per region. Non-zero records are the denominators for conditional frequency, expressed as full-match pings per player per 10 min when present. Counts are neither winsorized nor context-adjusted. CIs use the player-cluster delta method for ratio estimators. Mean frequency across all records equals occurrence proportion multiplied by conditional frequency."
Supplementary Table 8a,Supplementary Table 8a Diamond–Iron differences in composite scores,supplementary/tables/TableS8a.csv,9,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Estimates are adjusted Diamond minus Iron means. Maintenance and signalling use full-sample standardized scales; the overall score is their mean. Holm adjustment covers the nine two-sided tests."
Supplementary Table 8b,Supplementary Table 8b Regional contrasts in composite-score endpoint differences,supplementary/tables/TableS8b.csv,9,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Each estimate subtracts the second region’s Diamond−Iron difference from the first region’s corresponding difference. Scores retain their own scales. These nine two-sided tests form a separate Holm family."
Supplementary Table 8c,Supplementary Table 8c Overall information investment across all tiers,supplementary/tables/TableS8c.csv,21,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Values are adjusted means and 95% CIs for the equally weighted mean of maintenance and signalling, without further standardization."
Supplementary Table 9a,Supplementary Table 9a Tier endpoint frequencies for three ping types,supplementary/tables/TableS9a.csv,9,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Units are full-match pings per player per 10 min, not cumulative counts during the first 10 min. Raw rates are adjusted directly without log transformation or winsorization."
Supplementary Table 9b,Supplementary Table 9b Regional contrasts in endpoint differences for three ping types,supplementary/tables/TableS9b.csv,9,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Estimates compare regional Diamond−Iron differences in pings per player per 10 min. Holm adjustment covers all 27 comparisons across nine pings and three regional contrasts. This table shows the three pings emphasized in the main text; Supplementary Table 9d reports all nine."
Supplementary Table 9c,Supplementary Table 9c Tier endpoint differences for all nine ping types,supplementary/tables/TableS9c.csv,27,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Contrasts are Diamond minus Iron within each region, in raw pings per player per 10 min. Holm adjustment covers 27 two-sided tests."
Supplementary Table 9d,Supplementary Table 9d Regional contrasts in endpoint differences for all nine ping types,supplementary/tables/TableS9d.csv,27,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Contrasts compare the two regions’ Diamond−Iron differences, in pings per player per 10 min. These 27 two-sided tests form a separate Holm family."
Supplementary Table 10a,Supplementary Table 10a Local changes around Gold,supplementary/tables/TableS10a.csv,9,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Local change is (Platinum−Gold)−(Gold−Silver). Maintenance and signalling retain full-sample standardized scales; the overall score is their mean. Holm adjustment covers all 45 tests across three scores, three regions and five interior tiers; complete results appear in Supplementary Table 10c."
Supplementary Table 10b,Supplementary Table 10b All adjacent-tier comparisons of composite scores,supplementary/tables/TableS10b.csv,54,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Contrasts are the higher adjacent tier minus the lower tier within each region. The three composite scores retain their respective scales. Holm adjustment covers 54 two-sided tests."
Supplementary Table 10c,Supplementary Table 10c All local changes in composite scores,supplementary/tables/TableS10c.csv,45,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Each contrast identifies a region and interior tier. Local change is the next-tier mean minus twice the current-tier mean plus the preceding-tier mean. Composite scores retain their own scales. Holm adjustment covers 45 two-sided tests."
Supplementary Table 10d,Supplementary Table 10d All adjacent-tier comparisons of individual pings,supplementary/tables/TableS10d.csv,162,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Contrasts are the higher adjacent tier minus the lower tier within each region, in pings per player per 10 min. Holm adjustment covers 162 two-sided tests across nine pings."
Supplementary Table 10e,Supplementary Table 10e All local changes in individual pings,supplementary/tables/TableS10e.csv,135,"Note. Each region × sampling tier cell contained 6,000 players. Models included region × tier interactions and adjusted for position, patch and duration. Means used equal position weights, the pooled patch distribution and mean duration. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Local change is the next-tier mean minus twice the current-tier mean plus the preceding-tier mean, in pings per player per 10 min. Holm adjustment covers 135 two-sided tests."
Supplementary Table 11a,Supplementary Table 11a Process scores across team positions,supplementary/tables/TableS11a.csv,10,"Note. The analysis included 126,000 players, 2,519,994 player–match records and 2,240,349 unique matches. Models included region × position interactions and adjusted for sampling tier, patch and duration. Position-specific means used equal weights across seven tiers, the pooled patch distribution and mean duration. Each process retains its full-sample standardized scale. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights."
Supplementary Table 11b,Supplementary Table 11b Regional comparisons of process scores within positions,supplementary/tables/TableS11b.csv,30,"Note. Models and sample are as in Supplementary Table 11a. Contrasts compare the first region with the second within the same position. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. Holm adjustment covers 45 tests across overall, maintenance and signalling scores, five positions and three regional contrasts. This table reports 30 process contrasts; the 15 overall-score contrasts appear in Supplementary Table 11c."
Supplementary Table 11c,Supplementary Table 11c Regional comparisons of overall information investment within positions,supplementary/tables/TableS11c.csv,15,"Note. The sample and region × position model are as in Supplementary Table 11a. Overall information investment is the mean of the two process scores. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. These 15 contrasts share the 45-test Holm family with Supplementary Table 11b."
Supplementary Table 12,Supplementary Table 12 Regional differences in maintenance during the first 10 min,supplementary/tables/TableS12.csv,3,"Note. The sample contains 2,223,546 unique matches and 4,447,092 team records. Estimates adjust to a common sampling-tier distribution, patch mixture and team side. Team-level d divides the adjusted mean difference by the pooled SD of team-level model residuals in the two regions, unlike player-level d in Fig. 2. CIs use 1,000 match resamples within region × tier strata with first-order updates. Holm adjustment covers three two-sided comparisons. Estimates are calculated before rounding."
Supplementary Table 13a,Supplementary Table 13a Standardized regional means for minute-specific maintenance,supplementary/tables/TableS13a.csv,30,"Note. The sample contains 2,221,452 matches. Units are events per team per min. Direct standardization uses equal weights across seven sampling tiers and a common within-tier patch distribution; each region × tier × patch cell contains at least 30 matches. Pointwise 95% CIs use the joint covariance of within-cell match means. The tenth interval ends at the actual near-10-min frame and is normalized by its actual duration. Normal-approximation lower limits may be slightly below zero; observed counts are non-negative."
Supplementary Table 13b,Supplementary Table 13b Minute-specific regional contrasts and simultaneous intervals,supplementary/tables/TableS13b.csv,90,"Note. The sample contains 2,221,452 unique matches. Contrasts are first region minus second in events per team per min, standardized to equal tier weights and common within-tier patch proportions. Pointwise 95% CIs use joint stratified match-mean covariance. Simultaneous intervals use a Bonferroni critical value for all 90 contrasts. Holm adjustment applies to the same 90 two-sided normal tests."
Supplementary Table 14,Supplementary Table 14 Regional associations with subsequent objective acquisition under a common reference,supplementary/tables/TableS14.csv,3,"Note. The outcome sample contains 2,210,921 unique matches. A region × maintenance interaction model uses common early-state coefficients. Each match contributed one blue-minus-red record. Models adjusted for region, sampling tier, patch and early differences in gold, experience, level, kills, neutral objectives and turret plates. Probabilities are standardized across 2,208,868 common-support matches using common tier and patch weights and the empirical state distribution. Values of −1 and +1 SD refer to the uncentred blue-minus-red maintenance difference; zero denotes equal team scores. ORs refer to one common SD, whereas probability differences compare −1 with +1 SD and are in percentage points. CIs use joint stratified match-score covariance and the delta method. The region × maintenance interaction gives χ²(2) = 43.185, P < 0.001."
Supplementary Table 15a,Supplementary Table 15a Mutually adjusted associations of three maintenance components,supplementary/tables/TableS15a.csv,3,"Note. Each match contributed one blue-minus-red record. Models adjusted for region, sampling tier, patch and early differences in gold, experience, level, kills, neutral objectives and turret plates. Placement, clearing and purchases are included jointly; each uses the full-sample SD of its own blue-minus-red difference. ORs correspond to a one-SD increase in the predictor; pointwise 95% CIs use match-level HC0 covariance. BH q values refer to the family of 78 timeline sensitivity estimates specified in Supplementary Table 23."
Supplementary Table 15b,Supplementary Table 15b Time-window and sample specifications,supplementary/tables/TableS15b.csv,15,"Note. Each match contributed one blue-minus-red record. Models adjusted for region, sampling tier, patch and early differences in gold, experience, level, kills, neutral objectives and turret plates. The 15-min and net-purchase specifications use their corresponding difference SDs. Previously covered samples, their Iron–Gold subset and the full sample on the previous common scale use transformation parameters from the previously covered sample and its Iron–Gold difference scale; other specifications retain the primary scale. The strict 10-min analysis uses a state frame at or before the nominal cut-off. The first-assignable-objective analysis excludes unassigned events before determining the earliest event. Samples overlap. ORs correspond to a one-SD increase in the predictor; pointwise 95% CIs use match-level HC0 covariance. BH q values refer to the family of 78 timeline sensitivity estimates specified in Supplementary Table 23."
Supplementary Table 15c,Supplementary Table 15c Individual and alternative combinations of maintenance components,supplementary/tables/TableS15c.csv,5,"Note. Each match contributed one blue-minus-red record. Models adjusted for region, sampling tier, patch and early differences in gold, experience, level, kills, neutral objectives and turret plates. Each row enters as a separate maintenance predictor. Two-component scores are reconstructed from the specified indicators; each row uses its own difference SD. ORs correspond to a one-SD increase in the predictor; pointwise 95% CIs use match-level HC0 covariance. BH q values refer to the family of 78 timeline sensitivity estimates specified in Supplementary Table 23."
Supplementary Table 16a,Supplementary Table 16a Common-support and participant-disjoint samples for minute-specific analyses,supplementary/tables/TableS16a.csv,3,Note. Counts are unique matches. Primary minute-specific common support requires at least 30 matches per region within each tier × patch cell. The participant-disjoint sample requires at least five; original common weights are renormalized within tiers over retained cells. Both composition and reference weights therefore differ in the disjoint sample.
Supplementary Table 16b,Supplementary Table 16b Effect of purchase reversals on minute-specific frequencies,supplementary/tables/TableS16b.csv,10,"Note. Units are events per team per min among 2,221,452 common-support matches, with the weights used in Supplementary Table 13. Net purchases subtract reversed purchases and add back control wards restored by reversal of another transaction. Pointwise normal 95% CIs use within-match paired differences and fixed common weights."
Supplementary Table 16c,Supplementary Table 16c Regional contrast directions in the participant-disjoint sample,supplementary/tables/TableS16c.csv,4,"Note. Contrasts compare 2,221,452 primary common-support matches with 84,956 common-support matches whose participants do not recur across matches. Direction agreement is based on point-estimate signs. The interval for the sole reversal uses the participant-disjoint sample, in events per team per min. A dash indicates no sign reversal. Common-support and weight-renormalization rules are given in SM7."
Supplementary Table 17a,Supplementary Table 17a Early maintenance across tiers under a common patch distribution,supplementary/tables/TableS17a.csv,7,"Note. The sample contains 2,050,204 matches. All 21 region × tier cells use the same pooled proportions of 26 common patches. Team maintenance scores are first averaged within each match, using scoring parameters from the complete valid timeline sample. Values are adjusted means and pointwise normal 95% CIs from stratified match-mean variances with fixed weights. Cell counts appear in Supplementary Table 17d."
Supplementary Table 17b,Supplementary Table 17b Early regional contrasts under a common patch distribution,supplementary/tables/TableS17b.csv,7,"Note. The sample and patch reference are those in Supplementary Table 17a, comprising 2,050,204 matches. Estimates are the first region minus the second in standardized early-maintenance scores. Pointwise 95% CIs use the sum of regional estimate variances. All tier-specific contrasts are reported without selection by pointwise significance."
Supplementary Table 17c,Supplementary Table 17c Subsequent-objective associations within tiers,supplementary/tables/TableS17c.csv,7,"Note. The full outcome sample contains 2,210,921 matches. Each tier-specific analysis pools the three regions and adjusts for region, patch and early game state. The predictor retains the full-sample common SD of maintenance differences. ORs correspond to a one-SD increase in the predictor; pointwise 95% CIs use match-level HC0 covariance. BH q values refer to the family of 78 timeline sensitivity estimates specified in Supplementary Table 23."
Supplementary Table 17d,Supplementary Table 17d Region–tier sample sizes under the common patch distribution,supplementary/tables/TableS17d.csv,8,"Note. Counts are unique matches, totalling 2,050,204; each match contributes the mean of its two team scores. All 26 patches contain at least 30 matches in every region × tier cell. Corresponding means and contrasts appear in Supplementary Table 17a,b."
Supplementary Table 18a,Supplementary Table 18a Other subsequent binary outcomes,supplementary/tables/TableS18a.csv,1,"Note. Each match contributed one blue-minus-red record. Models adjusted for region, sampling tier, patch and early differences in gold, experience, level, kills, neutral objectives and turret plates. The maintenance predictor uses the common early-maintenance difference SD. Final win is modelled by logistic regression with match-level HC0 pointwise 95% CIs. This outcome and the five continuous outcomes in Supplementary Table 18b form a six-test BH family."
Supplementary Table 18b,Supplementary Table 18b Other subsequent continuous outcomes,supplementary/tables/TableS18b.csv,5,"Note. Each match contributed one blue-minus-red record. Models adjusted for region, sampling tier, patch and early differences in gold, experience, level, kills, neutral objectives and turret plates. Outcomes are post-window counts or final-minus-window growth, differenced blue minus red, standardized in their respective samples and analysed by linear regression. Maintenance retains the common difference SD. β is the outcome-SD change per predictor SD. Pointwise 95% CIs use match-level HC0 covariance. These five outcomes and final win form a six-test BH family."
Supplementary Table 18c,Supplementary Table 18c Exploratory win associations among teams behind in gold,supplementary/tables/TableS18c.csv,3,"Note. Thresholds refer to the absolute between-team gold difference at the early cut-off. Differences are oriented as the trailing team minus the leading team, and the outcome is a final win by the trailing team. Models adjust for region, sampling tier, patch, early state and whether the trailing team is blue. Maintenance retains the common full-sample difference SD. The three samples are nested. ORs correspond to a one-SD increase in the predictor; pointwise 95% CIs use match-level HC0 covariance. BH q values refer to the family of 78 timeline sensitivity estimates specified in Supplementary Table 23."
Supplementary Table 19a,Supplementary Table 19a Holdout AUC and incremental discrimination,supplementary/tables/TableS19a.csv,6,"Note. The baseline model includes region, sampling tier, patch, early gold, experience, level, kills, objectives, plates and assists; the augmented model adds maintenance. Region-held-out models omit region indicators. Preprocessing is fitted on training data only. ΔAUC is augmented minus baseline AUC. CIs use 1,000 paired stratified first-order updates on the same test matches, conditional on the fixed split and fitted models. Focal-player disjointness does not ensure disjointness of all participants. Undated matches are excluded from temporal holdout."
Supplementary Table 19b,Supplementary Table 19b Reduction in holdout probability losses,supplementary/tables/TableS19b.csv,6,"Note. Values are baseline loss minus loss after adding maintenance; positive values indicate improvement. Both models use the same test matches. Sample sizes appear in Supplementary Table 19a and absolute losses in Supplementary Table 19c. CIs use 1,000 paired stratified first-order updates on test matches, conditional on fixed splits and fitted models."
Supplementary Table 19c,Supplementary Table 19c Absolute holdout probability losses,supplementary/tables/TableS19c.csv,6,Note. Lower log-loss or Brier scores indicate lower prediction error. Both models are evaluated on the same test set; sample sizes and model definitions appear in Supplementary Table 19a. Absolute losses are rounded separately. Paired improvements and intervals appear in Supplementary Table 19b.
Supplementary Table 20a,Supplementary Table 20a Timeline inclusion flow for the fixed match sample,supplementary/tables/TableS20a.csv,22,"Note. All counts are unique matches. Fixed-sample counts are the original region × sampling tier denominators. Columns show successive download, identity-check, parsing, valid near-10-min-window and primary-outcome stages. Window coverage is valid-window matches divided by fixed-sample matches. Reasons for unavailable outcomes appear in Supplementary Table 20e."
Supplementary Table 20b,Supplementary Table 20b Subsequent-objective associations across patches,supplementary/tables/TableS20b.csv,42,"Note. Each patch first requires at least 1,000 valid near-10-min windows; the outcome analysis then retains matches with assignable objectives. Within-patch models adjust for region, sampling tier and early state, using the full-sample common maintenance difference SD. ORs correspond to a one-SD increase in the predictor; pointwise 95% CIs use match-level HC0 covariance. BH q values refer to the family of 78 timeline sensitivity estimates specified in Supplementary Table 23. P values are unadjusted and two-sided. Patches are ordered chronologically; all estimates and intervals are retained."
Supplementary Table 20c,Supplementary Table 20c Retention and composition of the participant-disjoint sample,supplementary/tables/TableS20c.csv,21,"Note. The primary outcome sample contains 2,210,921 matches, of which 85,451 (3.86%) enter the participant-disjoint outcome sample. No participant in any retained match recurs in another retained match. Gold differences are measured at the early cut-off; duration covers the full match. This outcome sample differs from the 84,956-match common-support sample used for minute-specific analyses."
Supplementary Table 20d,Supplementary Table 20d Subsequent-objective associations by match year,supplementary/tables/TableS20d.csv,3,"Note. Groups use the actual match-start year in UTC. The three years contain 2,201,980 matches; 8,941 primary-outcome matches lacked usable dates in this analysis. Models adjust for region, sampling tier, patch and early state, retaining the common maintenance difference SD. ORs correspond to a one-SD increase in the predictor; pointwise 95% CIs use match-level HC0 covariance. BH q values refer to the family of 78 timeline sensitivity estimates specified in Supplementary Table 23."
Supplementary Table 20e,Supplementary Table 20e Reasons for unavailable primary objective outcomes,supplementary/tables/TableS20e.csv,22,"Note. Classification is restricted to 2,223,546 valid near-10-min windows. No event, unassigned ownership and opposing-team ties at the earliest timestamp are mutually exclusive and sum with outcome-available matches to the valid-window count. Unassigned ownership includes earliest events without a unique identifiable team."
Supplementary Table 20f,Supplementary Table 20f Valid windows and objective availability under different temporal definitions,supplementary/tables/TableS20f.csv,4,"Note. Near-window analyses use the closest state frame within 1 s of the nominal boundary as the common event cut-off. Strict-window analyses separate events at the nominal time and take the latest frame at or before it. Window validity and outcome availability are assessed separately, so counts may differ. The strict 15-min row describes sample availability; its association is not separately included in the 78 sensitivity tests."
Supplementary Table 20g,Supplementary Table 20g Actual match-date range in the valid timeline sample,supplementary/tables/TableS20g.csv,3,"Note. Counts include all valid near-10-min-window matches in each region. Date ranges use actual match-start timestamps where available, not download dates. In the primary outcome analysis, 2,201,980 matches had usable years and 8,941 lacked usable dates."
Supplementary Table 20h,Supplementary Table 20h Timeline coverage across patches,supplementary/tables/TableS20h.csv,50,Note. Valid denotes a valid near-10-min window; fixed denotes the original unique-match sample. Percentages are valid divided by fixed counts. Patches below the minimum association-analysis sample size are retained. A dash denotes no fixed-sample matches in that region and patch. Patches follow release order.
Supplementary Table 21a,Supplementary Table 21a Definitions and analytical roles of the 18 full-match indicators,supplementary/tables/TableS21a.csv,18,"Note. Indicators 1–3 form the maintenance score. Indicators 4–12 form the signalling score through equal weighting of the three content-defined categories. Overall information investment is the arithmetic mean of the maintenance and signalling scores. Indicators 13–17 are performance references, and indicator 18 is a correlation diagnostic; these indicators do not enter the overall score. Numbering matches the correlation figure. Full-match indicators are normalized by duration. Scoring and contextual adjustment for correlations are described separately in SM2."
Supplementary Table 21b,Supplementary Table 21b Timeline event identification and inclusion rules,supplementary/tables/TableS21b.csv,10,"Note. Field names specify operational definitions of the recorded events. Control ward placement is already included in valid placement and is not a fourth maintenance component. Window selection, state-frame selection and outcome classification are detailed in SM6."
Supplementary Table 21c,Supplementary Table 21c Game-state covariates and secondary outcomes,supplementary/tables/TableS21c.csv,11,"Note. Team values sum across five participants. The primary maintenance model excludes early assists; the holdout baseline includes them. Continuous covariates are standardized. Categorical covariates are region, sampling tier and patch; regional holdout omits region indicators."
Supplementary Table 22a,Supplementary Table 22a Log-scale winsorization thresholds for full-match indicators,supplementary/tables/TableS22a.csv,18,"Note. Thresholds use log(1 + rate per min) across the original 2,520,000 player–match records. Values outside the thresholds are replaced by the corresponding threshold, then standardized using the full-sample mean and population SD. Reverse-scoring deaths in the correlation analysis does not alter these positive-scale thresholds."
Supplementary Table 22b,Supplementary Table 22b Scoring parameters for maintenance during the first 10 min,supplementary/tables/TableS22b.csv,3,"Note. Components are window counts transformed by log(1+x), with parameters pooled across 4,447,092 team records. The mean of the three standardized components has mean approximately zero and SD 0.727580633 and is standardized again to form the team score. The blue-minus-red score difference has mean −0.041256705 and SD 0.973240861. Alternative windows and scores use their corresponding parameters; holdout analyses estimate parameters on training data only."
Supplementary Table 23,Supplementary Table 23 Families of multiple comparisons,supplementary/tables/TableS23.csv,19,"Note. All table references denote Supplementary Tables unless explicitly identified as main-text tables. Composite scores comprise overall investment, maintenance and signalling. Pointwise 95% CIs are generally unadjusted for multiplicity; Supplementary Table 13b additionally reports simultaneous intervals for 90 comparisons. Correlation matrices, empirical distributions, raw frequency decompositions, common-patch tier means and predictive-gain intervals are not selected by pointwise significance. Joint Wald tests of interactions and functional form are reported separately from these pairwise families."
