variable,label,definition,analytical_role,raw_field,raw_unit,scoring,contributes_to,notes
maintenance,Shared-information maintenance,"Equal-weight mean of the three standardized maintenance indicators, standardized again over the full fixed sample.",Process score,,Standardized full-match score,See definition; scoring parameters are provided in Supplementary Table 22.,As defined,
signalling,Team signalling,"Within each of three ping categories, average the standardized indicators and standardize the category mean. Average the three category scores equally and standardize again.",Process score,,Standardized full-match score,See definition; scoring parameters are provided in Supplementary Table 22.,As defined,
overall,Overall information investment,Arithmetic mean of maintenance and signalling; no further standardization.,Overall score,,Overall score units,See definition; scoring parameters are provided in Supplementary Table 22.,As defined,
early_maintenance,Early maintenance,"Three log(1+x) window counts, winsorized and standardized with pooled blue/red-team parameters; average equally and standardize again.",Timeline exposure,,Frozen early-maintenance score,See definition; scoring parameters are provided in Supplementary Table 22.,As defined,
maintenance_difference_sd,Early maintenance difference on the plotting scale,"Blue minus red early-maintenance score divided by the common SD, without subtracting the mean difference. Zero represents equal team scores.",Timeline plotting coordinate,,Common SD,See definition; scoring parameters are provided in Supplementary Table 22.,As defined,
model_predictor_z,Centered maintenance predictor,"Blue-minus-red maintenance difference, centered at its pooled mean and divided by the common SD.",Timeline regression coordinate,,Common SD,See definition; scoring parameters are provided in Supplementary Table 22.,As defined,
first_post_neutral_blue,First subsequent neutral-objective ownership,Blue = 1 and red = 0 for the first legally assigned post-window neutral-objective event under the primary classification rule. Unavailable outcomes are excluded.,Primary timeline outcome,,Binary,See definition; scoring parameters are provided in Supplementary Table 22.,As defined,
valid_ward_placement,Valid ward placement,"YELLOW_TRINKET, BLUE_TRINKET, SIGHT_WARD and CONTROL_WARD only; attributed to the placing player’s team",Timeline event definition,WARD_PLACED; creatorId,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
valid_ward_clearing,Valid ward clearing,The same ward types as for placement; attributed to the clearing player’s team,Timeline event definition,WARD_KILL; killerId,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
excluded_ward_types,Excluded ward types,"UNDEFINED, TEEMO_MUSHROOM and other non-target types are excluded from maintenance counts",Timeline event definition,wardType,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
control_ward_purchases,Control ward purchases,itemId = 2055; attributed to the purchasing player’s team,Timeline event definition,ITEM_PURCHASED; itemId,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
purchase_reversals,Purchase reversals,Subtract 1 when beforeId = 2055 and add 1 when afterId = 2055; used only for net-purchase sensitivity analyses,Timeline event definition,"ITEM_UNDO; beforeId, afterId",As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
team_assignment,Team assignment,Participant IDs 1–5 map to team 100 (blue) and 6–10 to team 200 (red); checked against match details,Timeline event definition,participantId; teamId,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
neutral_objective_types,Neutral-objective types,"DRAGON, RIFTHERALD, BARON_NASHOR, HORDE and ATAKHAN; counted as recorded events",Timeline event definition,ELITE_MONSTER_KILL; monsterType,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
primary_objective_ownership,Primary objective ownership,The earliest post-window event must be assigned to team 100 or 200. Simultaneous events assigned to the same team are retained; opposing-team ties and unassigned events are excluded separately,Timeline event definition,killerTeamId; timestamp,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
alternative_objective_ownership,Alternative objective ownership,"Retain events assignable to team 100 or 200, then select the earliest post-window event",Timeline event definition,killerTeamId; timestamp,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
temporal_boundary,Temporal boundary,Events at or before the actual cut-off are early; events after it are subsequent. Strict specifications use the nominal cut-off,Timeline event definition,timestamp; state-frame time,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
gold,Gold,Blue minus red; game-state adjustment,State covariate or secondary outcome,Sum of cumulative gold across the five team members in the window-end frame,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
experience,Experience,Blue minus red; game-state adjustment,State covariate or secondary outcome,Sum of experience across the five team members in the window-end frame,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
level,Level,Blue minus red; game-state adjustment,State covariate or secondary outcome,Sum of levels across the five team members in the window-end frame,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
early_kills,Early kills,Blue minus red; game-state adjustment,State covariate or secondary outcome,Kill events at or before the cut-off,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
early_neutral_objectives,Early neutral objectives,Blue minus red; game-state adjustment,State covariate or secondary outcome,Neutral-objective kills at or before the cut-off,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
early_turret_plates,Early turret plates,Blue minus red; game-state adjustment,State covariate or secondary outcome,Turret-plate events at or before the cut-off,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
early_assists,Early assists,Blue minus red; baseline predictor in holdout validation,State covariate or secondary outcome,Assisting-participant counts in early kill events,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
subsequent_neutral_objectives_building_objectives_and_kills,"Subsequent neutral objectives, building objectives and kills",Blue minus red for each measure; standardized continuous outcomes,State covariate or secondary outcome,Event counts strictly after the cut-off,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
subsequent_gold_growth,Subsequent gold growth,Blue minus red in growth; standardized continuous outcome,State covariate or secondary outcome,Final cumulative gold minus gold at the cut-off,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
subsequent_champion_damage_growth,Subsequent champion-damage growth,Blue minus red in growth; standardized continuous outcome,State covariate or secondary outcome,Final cumulative champion damage minus damage at the cut-off,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
final_win,Final win,"Blue win = 1, red win = 0; logistic-regression outcome",State covariate or secondary outcome,Winning team recorded at match end,As stated in the definition,See Supplementary Methods and the corresponding table note.,As defined,Field names describe the source API schema; no record-level identifiers are supplied.
